SALON,Address,City,ST,Zip,DSC,Six Month Sale
DOLLFACE BEAUTY BAR,712 S MUSTANG RD,YUKON,OK,73099,Pam,2988.21
DONNA'S RAZOR CUTS,204 SE 4TH ST,MOORE,OK,73160,Vicki,584.04
DOUGLAS HAIR DESIGN,101 N DOUGLAS BLVD,MIDWEST CITY,OK,73130,Vicki,851.27
DOWNTOWNS FAMILY HAIR,609 S MAIN,STILLWATER,OK,74074,Michael,0
DRAGONFLY SALON,7550 N MAY AVE ,OKLAHOMA CITY,OK,73116,Pam,7255.35
DREAM WEAVERS @ J K HAIR COMPANY,44 E 15TH ST,EDMOND,OK,73013,Michael,7220.53
DUESORELLA SALON,314 N ROCKFORD,ARDMORE,OK,73401,Pam,109.95
DUNCAN BROTHERS HAIR DESIGN-EDMOND,3409 N BROADWAY ,EDMOND,OK,73013,Pam,1420.17
DUNCAN BROTHERS HAIR DESIGN-OKC,6008 S WESTERN,OKLAHOMA CITY,OK,73139,Pam,136.92
DUNCAN BROTHERS-EDMOND,3601 S BROADWAY,EDMOND,OK,73013,Michael,1891.58
DUNCAN BROTHERS-EDMOND,3601 S BROADWAY,EDMOND,OK,73013,Pam,533.41
DUNCAN BROTHERS-NORTH PENN PLAZA,5625 N PENN,OKLAHOMA CITY,OK,73112,Pam,717.5
DUNCAN BROTHERS-QUAIL SPRINGS MALL,2501 W MEMORIAL RD,OKLAHOMA CITY,OK,73134,Pam,406.36
E MCCURDY,2545 NW 25TH ST,OKLAHOMA CITY,OK,73107,Michael,0
EASY TAN & HAIR,116 S ROCK ISLAND,EL RENO,OK,73036,Pam,873.14
ECLIPS,16604 N WESTERN AVE,EDMOND,OK,73012,Michael,109.53
E'CLIPS SALON & SPA,350 W VANDAMENT,YUKON,OK,73099,Pam,887.51
EDEN SALON,12200 WARWICK DR,OKLAHOMA CITY,OK,73162,Pam,695.91
EDMOND BARBER SHOP,8 WEST 1ST,EDMOND,OK,73003,Michael,0
ELEMENTS,911 E MACARTHUR ,SHAWNEE,OK,74804,Vicki,0
ELEVATION SALON,3617 N MERIDIAN ,OKLAHOMA CITY,OK,73112,Michael,5026.38
ELIO,7108 N WESTERN AVE,OKLAHOMA CITY,OK,73116,Pam,1618.89
ELIZABETH HARGER,1806 W MAIN,ENID,OK,73703,Michael,951.39
ELLE SALON,1014 NW 150TH,EDMOND,OK,73013,Michael,2478.88
ELLEN BENNITT,PO BOX 478,PIEDMONT,OK,73078,Pam,78.32
EMBELLISH,6602 N WESTERN,OKLAHOMA CITY,OK,73116,Pam,9474.84
EMILY'S SALON,708 W 15TH ST ,EDMOND,OK,73013,Michael,55
EN VOGUE SALON & SPA,10600 S PENNSYLVANIA AVE ,OKLAHOMA CITY,OK,73170,Vicki,7732.05
ENCORE SALON,9618 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,61.86
END ZONE,315 TYLER,BLANCHARD,OK,73010,Vicki,235.97
EPOCH ENTERPRISES(SUPERCUTS),2010 W ANKLAM ,TUSCON,OK,85745,Pam,0
EPWORTH VILLA,14900 N PENN,OKLAHOMA CITY,OK,73120,Pam,44.54
ESTETICA,1512 SW 29TH,OKLAHOMA CITY,OK,73119,Pam,4756.09
ESTETICA BUENO IMPRESSION,2822 S AGNEW,OKLAHOMA CITY,OK,73108,Pam,134.99
ESTETICA DIAZ,2904 S MAY,OKLAHOMA CITY,OK,73119,Pam,4.4
ESTETICA ELISA,4901 NW 23RD,OKLAHOMA CITY,OK,73127,Pam,95.95
ESTETICA EN-MI CASA,1500 SW 30TH,OKLAHOMA CITY,OK,73119,Pam,41.73
ESTETICA FAMILIAR UNISEX,4401 S PENN,OKLAHOMA CITY,OK,73119,Pam,1912.21
ESTETICA GAILILEA,1139 SW 59TH,OKLAHOMA CITY,OK,73159,Pam,0
